B	window	eval_start	eval_end	stratum	lens	build_docs	eval_docs	n_eligible	obs_total	null_mean	null_sd	z_seg	formed	binom_p	uninformative	null_kind	R	ratio	null_min	null_max	mc_p_lo	mc_p_hi	mc_p_2s	drift_reps	inc_before	inc_after	collapsed_frac	docs_changed	toks_changed
4	8	2022Q1	2022Q2	DD	union	138342	39426	290	151	333.79	18.41211286083159	-9.927703647138312	0	1.0	0	stratified	100	0.4523802390724707	297.0	375.0	0.009900990099009901	1.0	0.019801980198019802	10	102501.0	98831.3	0.03580160193559084	2029.4	166.6
4	9	2022Q2	2022Q3	DD	union	95085	34155	250	182	366.8	17.052272575818158	-10.837265190216643	0	1.0	0	stratified	100	0.4961832061068702	327.0	410.0	0.009900990099009901	1.0	0.019801980198019802	10	83086.0	80318.8	0.03330524998194638	1544.4	150.9
4	10	2022Q3	2022Q4	DD	union	83382	30721	179	125	246.26	16.56298282315115	-7.321145067572434	0	1.0	0	stratified	100	0.507593600259888	208.0	289.0	0.009900990099009901	1.0	0.019801980198019802	10	67707.0	65748.9	0.028920200274713186	1173.8	130.2
4	11	2022Q4	2023Q1	DD	union	77827	27707	158	116	238.49	15.627856538885938	-7.837927082016325	1	0.7956565382536613	0	stratified	100	0.4863935594783848	196.0	283.0	0.009900990099009901	1.0	0.019801980198019802	10	58385.0	56860.9	0.026104307613256803	934.8	127.0
4	12	2023Q1	2023Q2	DD	union	70147	25981	150	126	248.43	16.721396472783006	-7.321756899866361	0	1.0	0	stratified	100	0.5071851225697379	213.0	293.0	0.009900990099009901	1.0	0.019801980198019802	10	54467.0	53006.2	0.026819909302880696	885.8	122.4
4	13	2023Q2	2023Q3	DD	union	61862	25877	139	112	260.12	16.219913686576756	-9.1319844767473	0	1.0	0	stratified	100	0.43057050592034446	225.0	293.0	0.009900990099009901	1.0	0.019801980198019802	10	54151.0	52635.1	0.027993942863474387	916.9	121.3
4	14	2023Q3	2023Q4	DD	union	56702	26427	128	88	241.17	16.178414631848202	-9.467553124672392	0	1.0	0	stratified	100	0.3648878384542025	200.0	278.0	0.009900990099009901	1.0	0.019801980198019802	10	54745.0	53431.2	0.0239985386793315	853.8	119.9
4	15	2023Q4	2024Q1	DD	union	53584	30645	143	131	310.58	16.374480144419852	-10.967065727652907	0	1.0	0	stratified	100	0.4217914868954859	268.0	364.0	0.009900990099009901	1.0	0.019801980198019802	10	63307.0	61455.0	0.029254268880218617	1149.3	129.7
4	16	2024Q1	2024Q2	DD	union	52408	34862	120	177	393.26	19.623771299115774	-11.020307804430255	0	1.0	0	stratified	100	0.4500839139500585	351.0	448.0	0.009900990099009901	1.0	0.019801980198019802	10	70117.0	67751.5	0.03373646904459689	1423.3	126.8
4	17	2024Q2	2024Q3	DD	union	56522	34385	127	222	471.0	21.081745658270332	-11.81116611670712	0	1.0	0	stratified	100	0.4713375796178344	422.0	524.0	0.009900990099009901	1.0	0.019801980198019802	10	70786.0	68606.3	0.03079281213799335	1313.9	130.7
4	18	2024Q3	2024Q4	DD	union	61289	36544	161	277	609.89	24.658018979634196	-13.500273492162687	0	1.0	0	stratified	100	0.45418026201446166	553.0	666.0	0.009900990099009901	1.0	0.019801980198019802	10	78859.0	76600.0	0.02864606449485791	1388.3	146.4
